transaction_id,date,amount,product_id,product_name,customer_id,customer_name,customer_email,signup_date,last_purchase,total_spent
T192,2023-08-20,59.5,P1,Product 1,C019,Customer 19,customer19@example.com,2023-08-01,2023-08-15,128.5
T201,2023-09-15,70.0,P1,Product 1,C020,Customer 20,customer20@example.com,2023-09-01,2023-09-15,130.0
T202,2023-09-20,60.0,P2,Product 2,C020,Customer 20,customer20@example.com,2023-09-01,2023-09-15,130.0
T211,2023-10-15,71.0,P2,Product 2,C021,Customer 21,customer21@example.com,2023-10-01,2023-10-15,131.5
T212,2023-10-20,60.5,P3,Product 3,C021,Customer 21,customer21@example.com,2023-10-01,2023-10-15,131.5
T221,2023-11-15,72.0,P3,Product 3,C022,Customer 22,customer22@example.com,2023-11-01,2023-11-15,133.0
T222,2023-11-20,61.0,P4,Product 4,C022,Customer 22,customer22@example.com,2023-11-01,2023-11-15,133.0
T231,2023-12-15,73.0,P4,Product 4,C023,Customer 23,customer23@example.com,2023-12-01,2023-12-15,134.5
T232,2023-12-20,61.5,P5,Product 5,C023,Customer 23,customer23@example.com,2023-12-01,2023-12-15,134.5
T241,2023-01-15,74.0,P5,Product 5,C024,Customer 24,customer24@example.com,2023-01-01,2023-01-15,136.0
T242,2023-01-20,62.0,P6,Product 6,C024,Customer 24,customer24@example.com,2023-01-01,2023-01-15,136.0
T251,2023-02-15,75.0,P6,Product 6,C025,Customer 25,customer25@example.com,2023-02-01,2023-02-15,137.5
T252,2023-02-20,62.5,P7,Product 7,C025,Customer 25,customer25@example.com,2023-02-01,2023-02-15,137.5
T261,2023-03-15,76.0,P7,Product 7,C026,Customer 26,customer26@example.com,2023-03-01,2023-03-15,139.0
T262,2023-03-20,63.0,P8,Product 8,C026,Customer 26,customer26@example.com,2023-03-01,2023-03-15,139.0
T271,2023-04-15,77.0,P8,Product 8,C027,Customer 27,customer27@example.com,2023-04-01,2023-04-15,140.5
T272,2023-04-20,63.5,P9,Product 9,C027,Customer 27,customer27@example.com,2023-04-01,2023-04-15,140.5
T281,2023-05-15,78.0,P9,Product 9,C028,Customer 28,customer28@example.com,2023-05-01,2023-05-15,142.0
T282,2023-05-20,64.0,P10,Product 10,C028,Customer 28,customer28@example.com,2023-05-01,2023-05-15,142.0
T291,2023-06-15,79.0,P10,Product 10,C029,Customer 29,customer29@example.com,2023-06-01,2023-06-15,143.5
T292,2023-06-20,64.5,P1,Product 1,C029,Customer 29,customer29@example.com,2023-06-01,2023-06-15,143.5
T301,2023-07-15,80.0,P1,Product 1,C030,Customer 30,customer30@example.com,2023-07-01,2023-07-15,145.0
T302,2023-07-20,65.0,P2,Product 2,C030,Customer 30,customer30@example.com,2023-07-01,2023-07-15,145.0
T311,2023-08-15,81.0,P2,Product 2,C031,Customer 31,customer31@example.com,2023-08-01,2023-08-15,146.5
T312,2023-08-20,65.5,P3,Product 3,C031,Customer 31,customer31@example.com,2023-08-01,2023-08-15,146.5
T321,2023-09-15,82.0,P3,Product 3,C032,Customer 32,customer32@example.com,2023-09-01,2023-09-15,148.0
T322,2023-09-20,66.0,P4,Product 4,C032,Customer 32,customer32@example.com,2023-09-01,2023-09-15,148.0
T331,2023-10-15,83.0,P4,Product 4,C033,Customer 33,customer33@example.com,2023-10-01,2023-10-15,149.5
T332,2023-10-20,66.5,P5,Product 5,C033,Customer 33,customer33@example.com,2023-10-01,2023-10-15,149.5
T341,2023-11-15,84.0,P5,Product 5,C034,Customer 34,customer34@example.com,2023-11-01,2023-11-15,151.0
T342,2023-11-20,67.0,P6,Product 6,C034,Customer 34,customer34@example.com,2023-11-01,2023-11-15,151.0
T351,2023-12-15,85.0,P6,Product 6,C035,Customer 35,customer35@example.com,2023-12-01,2023-12-15,152.5
T352,2023-12-20,67.5,P7,Product 7,C035,Customer 35,customer35@example.com,2023-12-01,2023-12-15,152.5
T361,2023-01-15,86.0,P7,Product 7,C036,Customer 36,customer36@example.com,2023-01-01,2023-01-15,154.0
T362,2023-01-20,68.0,P8,Product 8,C036,Customer 36,customer36@example.com,2023-01-01,2023-01-15,154.0
T371,2023-02-15,87.0,P8,Product 8,C037,Customer 37,customer37@example.com,2023-02-01,2023-02-15,155.5
T372,2023-02-20,68.5,P9,Product 9,C037,Customer 37,customer37@example.com,2023-02-01,2023-02-15,155.5
T381,2023-03-15,88.0,P9,Product 9,C038,Customer 38,customer38@example.com,2023-03-01,2023-03-15,157.0
T382,2023-03-20,69.0,P10,Product 10,C038,Customer 38,customer38@example.com,2023-03-01,2023-03-15,157.0
T391,2023-04-15,89.0,P10,Product 10,C039,Customer 39,customer39@example.com,2023-04-01,2023-04-15,158.5
T392,2023-04-20,69.5,P1,Product 1,C039,Customer 39,customer39@example.com,2023-04-01,2023-04-15,158.5
T401,2023-05-15,90.0,P1,Product 1,C040,Customer 40,customer40@example.com,2023-05-01,2023-05-15,160.0
T402,2023-05-20,70.0,P2,Product 2,C040,Customer 40,customer40@example.com,2023-05-01,2023-05-15,160.0
T411,2023-06-15,91.0,P2,Product 2,C041,Customer 41,customer41@example.com,2023-06-01,2023-06-15,161.5
T412,2023-06-20,70.5,P3,Product 3,C041,Customer 41,customer41@example.com,2023-06-01,2023-06-15,161.5
T421,2023-07-15,92.0,P3,Product 3,C042,Customer 42,customer42@example.com,2023-07-01,2023-07-15,163.0
T422,2023-07-20,71.0,P4,Product 4,C042,Customer 42,customer42@example.com,2023-07-01,2023-07-15,163.0
T431,2023-08-15,93.0,P4,Product 4,C043,Customer 43,customer43@example.com,2023-08-01,2023-08-15,164.5
T432,2023-08-20,71.5,P5,Product 5,C043,Customer 43,customer43@example.com,2023-08-01,2023-08-15,164.5
T441,2023-09-15,94.0,P5,Product 5,C044,Customer 44,customer44@example.com,2023-09-01,2023-09-15,166.0
T442,2023-09-20,72.0,P6,Product 6,C044,Customer 44,customer44@example.com,2023-09-01,2023-09-15,166.0
T451,2023-10-15,95.0,P6,Product 6,C045,Customer 45,customer45@example.com,2023-10-01,2023-10-15,167.5
T452,2023-10-20,72.5,P7,Product 7,C045,Customer 45,customer45@example.com,2023-10-01,2023-10-15,167.5
T461,2023-11-15,96.0,P7,Product 7,C046,Customer 46,customer46@example.com,2023-11-01,2023-11-15,169.0
T462,2023-11-20,73.0,P8,Product 8,C046,Customer 46,customer46@example.com,2023-11-01,2023-11-15,169.0
T471,2023-12-15,97.0,P8,Product 8,C047,Customer 47,customer47@example.com,2023-12-01,2023-12-15,170.5
T472,2023-12-20,73.5,P9,Product 9,C047,Customer 47,customer47@example.com,2023-12-01,2023-12-15,170.5
T481,2023-01-15,98.0,P9,Product 9,C048,Customer 48,customer48@example.com,2023-01-01,2023-01-15,172.0
T482,2023-01-20,74.0,P10,Product 10,C048,Customer 48,customer48@example.com,2023-01-01,2023-01-15,172.0
T491,2023-02-15,99.0,P10,Product 10,C049,Customer 49,customer49@example.com,2023-02-01,2023-02-15,173.5
T492,2023-02-20,74.5,P1,Product 1,C049,Customer 49,customer49@example.com,2023-02-01,2023-02-15,173.5
T501,2023-03-15,100.0,P1,Product 1,C050,Customer 50,customer50@example.com,2023-03-01,2023-03-15,175.0
T502,2023-03-20,75.0,P2,Product 2,C050,Customer 50,customer50@example.com,2023-03-01,2023-03-15,175.0
T511,2023-04-15,101.0,P2,Product 2,C051,Customer 51,customer51@example.com,2023-04-01,2023-04-15,176.5
T512,2023-04-20,75.5,P3,Product 3,C051,Customer 51,customer51@example.com,2023-04-01,2023-04-15,176.5
T521,2023-05-15,102.0,P3,Product 3,C052,Customer 52,customer52@example.com,2023-05-01,2023-05-15,178.0
T522,2023-05-20,76.0,P4,Product 4,C052,Customer 52,customer52@example.com,2023-05-01,2023-05-15,178.0
T531,2023-06-15,103.0,P4,Product 4,C053,Customer 53,customer53@example.com,2023-06-01,2023-06-15,179.5
T532,2023-06-20,76.5,P5,Product 5,C053,Customer 53,customer53@example.com,2023-06-01,2023-06-15,179.5
T541,2023-07-15,104.0,P5,Product 5,C054,Customer 54,customer54@example.com,2023-07-01,2023-07-15,181.0
T542,2023-07-20,77.0,P6,Product 6,C054,Customer 54,customer54@example.com,2023-07-01,2023-07-15,181.0
T551,2023-08-15,105.0,P6,Product 6,C055,Customer 55,,2023-08-01,2023-08-15,182.5
T552,2023-08-20,77.5,P7,Product 7,C055,Customer 55,,2023-08-01,2023-08-15,182.5
T561,2023-09-15,106.0,P7,Product 7,C056,Customer 56,customer56@example.com,2023-09-01,2023-09-15,184.0
T562,2023-09-20,78.0,P8,Product 8,C056,Customer 56,customer56@example.com,2023-09-01,2023-09-15,184.0
T571,2023-10-15,107.0,P8,Product 8,C057,Customer 57,customer57@example.com,2023-10-01,2023-10-15,185.5
T572,2023-10-20,78.5,P9,Product 9,C057,Customer 57,customer57@example.com,2023-10-01,2023-10-15,185.5
T581,2023-11-15,108.0,P9,Product 9,C058,Customer 58,customer58@example.com,2023-11-01,2023-11-15,187.0
T582,2023-11-20,79.0,P10,Product 10,C058,Customer 58,customer58@example.com,2023-11-01,2023-11-15,187.0
T591,2023-12-15,109.0,P10,Product 10,C059,Customer 59,customer59@example.com,2023-12-01,2023-12-15,188.5
T592,2023-12-20,79.5,P1,Product 1,C059,Customer 59,customer59@example.com,2023-12-01,2023-12-15,188.5
T601,2023-01-15,110.0,P1,Product 1,C060,Customer 60,customer60@example.com,2023-01-01,2023-01-15,190.0
T602,2023-01-20,80.0,P2,Product 2,C060,Customer 60,customer60@example.com,2023-01-01,2023-01-15,190.0
T611,2023-02-15,111.0,P2,Product 2,C061,Customer 61,customer61@example.com,2023-02-01,2023-02-15,191.5
T612,2023-02-20,80.5,P3,Product 3,C061,Customer 61,customer61@example.com,2023-02-01,2023-02-15,191.5
T621,2023-03-15,112.0,P3,Product 3,C062,Customer 62,customer62@example.com,2023-03-01,2023-03-15,193.0
T622,2023-03-20,81.0,P4,Product 4,C062,Customer 62,customer62@example.com,2023-03-01,2023-03-15,193.0
T621,2023-03-15,112.0,P3,Product 3,C062,Customer 62,customer62@example.com,2023-03-01,2023-03-15,193.0
T622,2023-03-20,81.0,P4,Product 4,C062,Customer 62,customer62@example.com,2023-03-01,2023-03-15,193.0
T631,2023-04-15,113.0,P4,Product 4,C063,Customer 63,customer63@example.com,2023-04-01,2023-04-15,194.5
T632,2023-04-20,81.5,P5,Product 5,C063,Customer 63,customer63@example.com,2023-04-01,2023-04-15,194.5
T641,2023-05-15,114.0,P5,Product 5,C064,Customer 64,customer64@example.com,2023-05-01,2023-05-15,196.0
T642,2023-05-20,82.0,P6,Product 6,C064,Customer 64,customer64@example.com,2023-05-01,2023-05-15,196.0
T651,2023-06-15,115.0,P6,Product 6,C065,Customer 65,customer65@example.com,2023-06-01,2023-06-15,197.5
T652,2023-06-20,82.5,P7,Product 7,C065,Customer 65,customer65@example.com,2023-06-01,2023-06-15,197.5
T661,2023-07-15,116.0,P7,Product 7,C066,Customer 66,customer66@example.com,2023-07-01,2023-07-15,199.0
T662,2023-07-20,83.0,P8,Product 8,C066,Customer 66,customer66@example.com,2023-07-01,2023-07-15,199.0
T671,2023-08-15,117.0,P8,Product 8,C067,Customer 67,customer67@example.com,2023-08-01,2023-08-15,200.5
T672,2023-08-20,83.5,P9,Product 9,C067,Customer 67,customer67@example.com,2023-08-01,2023-08-15,200.5
T681,2023-09-15,118.0,P9,Product 9,C068,Customer 68,customer68@example.com,2023-09-01,2023-09-15,202.0
T682,2023-09-20,84.0,P10,Product 10,C068,Customer 68,customer68@example.com,2023-09-01,2023-09-15,202.0
T691,2023-10-15,119.0,P10,Product 10,C069,Customer 69,customer69@example.com,2023-10-01,2023-10-15,203.5
T692,2023-10-20,84.5,P1,Product 1,C069,Customer 69,customer69@example.com,2023-10-01,2023-10-15,203.5
T701,2023-11-15,120.0,P1,Product 1,C070,Customer 70,customer70@example.com,2023-11-01,2023-11-15,205.0
T702,2023-11-20,85.0,P2,Product 2,C070,Customer 70,customer70@example.com,2023-11-01,2023-11-15,205.0
T711,2023-12-15,121.0,P2,Product 2,C071,Customer 71,customer71@example.com,2023-12-01,2023-12-15,206.5
T712,2023-12-20,85.5,P3,Product 3,C071,Customer 71,customer71@example.com,2023-12-01,2023-12-15,206.5
T721,2023-01-15,122.0,P3,Product 3,C072,Customer 72,customer72@example.com,2023-01-01,2023-01-15,208.0
T722,2023-01-20,86.0,P4,Product 4,C072,Customer 72,customer72@example.com,2023-01-01,2023-01-15,208.0
T731,2023-02-15,123.0,P4,Product 4,C073,Customer 73,customer73@example.com,2023-02-01,2023-02-15,209.5
T732,2023-02-20,86.5,P5,Product 5,C073,Customer 73,customer73@example.com,2023-02-01,2023-02-15,209.5
T741,2023-03-15,124.0,P5,Product 5,C074,Customer 74,customer74@example.com,2023-03-01,2023-03-15,211.0
T742,2023-03-20,87.0,P6,Product 6,C074,Customer 74,customer74@example.com,2023-03-01,2023-03-15,211.0
T751,2023-04-15,125.0,P6,Product 6,C075,Customer 75,customer75@example.com,2023-04-01,2023-04-15,212.5
T752,2023-04-20,87.5,P7,Product 7,C075,Customer 75,customer75@example.com,2023-04-01,2023-04-15,212.5
T761,2023-05-15,126.0,P7,Product 7,C076,Customer 76,customer76@example.com,2023-05-01,2023-05-15,214.0
T762,2023-05-20,88.0,P8,Product 8,C076,Customer 76,customer76@example.com,2023-05-01,2023-05-15,214.0
T771,2023-06-15,127.0,P8,Product 8,C077,Customer 77,customer77@example.com,2023-06-01,2023-06-15,215.5
T772,2023-06-20,88.5,P9,Product 9,C077,Customer 77,customer77@example.com,2023-06-01,2023-06-15,215.5
T781,2023-07-15,128.0,P9,Product 9,C078,Customer 78,customer78@example.com,2023-07-01,2023-07-15,217.0
T782,2023-07-20,89.0,P10,Product 10,C078,Customer 78,customer78@example.com,2023-07-01,2023-07-15,217.0
T791,2023-08-15,129.0,P10,Product 10,C079,Customer 79,customer79@example.com,2023-08-01,2023-08-15,218.5
T792,2023-08-20,89.5,P1,Product 1,C079,Customer 79,customer79@example.com,2023-08-01,2023-08-15,218.5
T801,2023-09-15,130.0,P1,Product 1,C080,Customer 80,customer80@example.com,2023-09-01,2023-09-15,220.0
T802,2023-09-20,90.0,P2,Product 2,C080,Customer 80,customer80@example.com,2023-09-01,2023-09-15,220.0
T811,2023-10-15,131.0,P2,Product 2,C081,Customer 81,customer81@example.com,2023-10-01,2023-10-15,221.5
T812,2023-10-20,90.5,P3,Product 3,C081,Customer 81,customer81@example.com,2023-10-01,2023-10-15,221.5
T821,2023-11-15,132.0,P3,Product 3,C082,Customer 82,customer82@example.com,2023-11-01,2023-11-15,223.0
T822,2023-11-20,91.0,P4,Product 4,C082,Customer 82,customer82@example.com,2023-11-01,2023-11-15,223.0
T831,2023-12-15,133.0,P4,Product 4,C083,Customer 83,customer83@example.com,2023-12-01,2023-12-15,224.5
T832,2023-12-20,91.5,P5,Product 5,C083,Customer 83,customer83@example.com,2023-12-01,2023-12-15,224.5
T841,2023-01-15,134.0,P5,Product 5,C084,Customer 84,customer84@example.com,2023-01-01,2023-01-15,226.0
T842,2023-01-20,92.0,P6,Product 6,C084,Customer 84,customer84@example.com,2023-01-01,2023-01-15,226.0
T851,2023-02-15,135.0,P6,Product 6,C085,Customer 85,customer85@example.com,2023-02-01,2023-02-15,227.5
T852,2023-02-20,92.5,P7,Product 7,C085,Customer 85,customer85@example.com,2023-02-01,2023-02-15,227.5
T861,2023-03-15,136.0,P7,Product 7,C086,Customer 86,customer86@example.com,2023-03-01,2023-03-15,229.0
T862,2023-03-20,93.0,P8,Product 8,C086,Customer 86,customer86@example.com,2023-03-01,2023-03-15,229.0
T871,2023-04-15,137.0,P8,Product 8,C087,Customer 87,customer87@example.com,2023-04-01,2023-04-15,230.5
T872,2023-04-20,93.5,P9,Product 9,C087,Customer 87,customer87@example.com,2023-04-01,2023-04-15,230.5
T881,2023-05-15,138.0,P9,Product 9,C088,Customer 88,customer88@example.com,2023-05-01,2023-05-15,232.0
T882,2023-05-20,94.0,P10,Product 10,C088,Customer 88,customer88@example.com,2023-05-01,2023-05-15,232.0
T891,2023-06-15,139.0,P10,Product 10,C089,Customer 89,customer89@example.com,2023-06-01,2023-06-15,233.5
T892,2023-06-20,94.5,P1,Product 1,C089,Customer 89,customer89@example.com,2023-06-01,2023-06-15,233.5
T901,2023-07-15,140.0,P1,Product 1,C090,Customer 90,customer90@example.com,2023-07-01,2023-07-15,235.0
T902,2023-07-20,95.0,P2,Product 2,C090,Customer 90,customer90@example.com,2023-07-01,2023-07-15,235.0
T911,2023-08-15,141.0,P2,Product 2,C091,Customer 91,customer91@example.com,2023-08-01,2023-08-15,236.5
T912,2023-08-20,95.5,P3,Product 3,C091,Customer 91,customer91@example.com,2023-08-01,2023-08-15,236.5
T921,2023-09-15,142.0,P3,Product 3,C092,Customer 92,customer92@example.com,2023-09-01,2023-09-15,238.0
T922,2023-09-20,96.0,P4,Product 4,C092,Customer 92,customer92@example.com,2023-09-01,2023-09-15,238.0
T931,2023-10-15,143.0,P4,Product 4,C093,Customer 93,customer93@example.com,2023-10-01,2023-10-15,239.5
T932,2023-10-20,96.5,P5,Product 5,C093,Customer 93,customer93@example.com,2023-10-01,2023-10-15,239.5
T941,2023-11-15,144.0,P5,Product 5,C094,Customer 94,customer94@example.com,2023-11-01,2023-11-15,241.0
T942,2023-11-20,97.0,P6,Product 6,C094,Customer 94,customer94@example.com,2023-11-01,2023-11-15,241.0
T951,2023-12-15,145.0,P6,Product 6,C095,Customer 95,customer95@example.com,2023-12-01,2023-12-15,242.5
T952,2023-12-20,97.5,P7,Product 7,C095,Customer 95,customer95@example.com,2023-12-01,2023-12-15,242.5
T961,2023-01-15,146.0,P7,Product 7,C096,Customer 96,customer96@example.com,2023-01-01,2023-01-15,244.0
T962,2023-01-20,98.0,P8,Product 8,C096,Customer 96,customer96@example.com,2023-01-01,2023-01-15,244.0
T971,2023-02-15,147.0,P8,Product 8,C097,Customer 97,customer97@example.com,2023-02-01,2023-02-15,245.5
T972,2023-02-20,98.5,P9,Product 9,C097,Customer 97,customer97@example.com,2023-02-01,2023-02-15,245.5
T981,2023-03-15,148.0,P9,Product 9,C098,Customer 98,customer98@example.com,2023-03-01,2023-03-15,247.0
T982,2023-03-20,99.0,P10,Product 10,C098,Customer 98,customer98@example.com,2023-03-01,2023-03-15,247.0
T991,2023-04-15,149.0,P10,Product 10,C099,Customer 99,customer99@example.com,2023-04-01,2023-04-15,248.5
T992,2023-04-20,99.5,P1,Product 1,C099,Customer 99,customer99@example.com,2023-04-01,2023-04-15,248.5
T1001,2023-05-15,150.0,P1,Product 1,C100,Customer 100,customer100@example.com,2023-05-01,2023-05-15,250.0
T1002,2023-05-20,100.0,P2,Product 2,C100,Customer 100,customer100@example.com,2023-05-01,2023-05-15,250.0
